method,stress_level,seeds,mean_robust_success,ci95_robust_success,mean_failure_macro_f1,ci95_failure_macro_f1,mean_rare_failure_recall,ci95_rare_failure_recall,mean_tail_risk,ci95_tail_risk,mean_safety_violation_rate,ci95_safety_violation_rate
calibrated_failure_risk,0.00,8,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
calibrated_failure_risk,0.20,8,0.95000,0.05238,0.00184,0.00360,0.00833,0.01633,0.05000,0.05238,0.02500,0.03208
calibrated_failure_risk,0.40,8,0.56250,0.14316,0.06796,0.03137,0.01417,0.02425,0.43750,0.14316,0.27500,0.14226
calibrated_failure_risk,0.60,8,0.06250,0.05156,0.20080,0.04656,0.08497,0.07207,0.95000,0.03704,0.83750,0.06348
calibrated_failure_risk,0.80,8,0.00000,0.00000,0.45477,0.04017,0.54726,0.10976,1.00000,0.00000,0.77500,0.13226
calibrated_failure_risk,1.00,8,0.01250,0.02450,0.49411,0.01675,0.80666,0.08733,0.98750,0.02450,0.71250,0.09398
failure_prediction_active_learning,0.00,8,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
failure_prediction_active_learning,0.20,8,0.95000,0.05238,0.00521,0.01021,0.00000,0.00000,0.05000,0.05238,0.02500,0.03208
failure_prediction_active_learning,0.40,8,0.56250,0.14316,0.06587,0.02975,0.01250,0.02450,0.43750,0.14316,0.27500,0.14226
failure_prediction_active_learning,0.60,8,0.06250,0.05156,0.19659,0.04396,0.08116,0.06814,0.95000,0.03704,0.83750,0.06348
failure_prediction_active_learning,0.80,8,0.00000,0.00000,0.46021,0.03907,0.55793,0.11093,1.00000,0.00000,0.77500,0.13226
failure_prediction_active_learning,1.00,8,0.01250,0.02450,0.49438,0.01694,0.80666,0.08733,0.98750,0.02450,0.71250,0.09398
failure_stratified_engine,0.00,8,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
failure_stratified_engine,0.20,8,0.95000,0.05238,0.01872,0.01394,0.00000,0.00000,0.05000,0.05238,0.02500,0.03208
failure_stratified_engine,0.40,8,0.55000,0.14346,0.08571,0.02068,0.00167,0.00327,0.45000,0.14346,0.30000,0.14346
failure_stratified_engine,0.60,8,0.07500,0.04900,0.23458,0.05059,0.11673,0.07595,0.93750,0.03586,0.82500,0.06142
failure_stratified_engine,0.80,8,0.00000,0.00000,0.49319,0.02486,0.65451,0.07304,1.00000,0.00000,0.85000,0.09073
failure_stratified_engine,1.00,8,0.01250,0.02450,0.49658,0.01625,0.84077,0.07678,0.98750,0.02450,0.71250,0.09398
failure_stratified_engine_v5,0.00,8,1.00000,0.00000,0.00759,0.00994,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
failure_stratified_engine_v5,0.20,8,0.95000,0.05238,0.02628,0.01649,0.00000,0.00000,0.05000,0.05238,0.02500,0.03208
failure_stratified_engine_v5,0.40,8,0.55000,0.14346,0.10679,0.01527,0.00528,0.00678,0.45000,0.14346,0.30000,0.14346
