method,seed,stress_level,robust_success,failure_macro_f1,rare_failure_recall,tail_risk,calibration_error,safety_violation_rate
uncertainty_sampling,0,0.00,1.00000,0.00000,0.00000,0.00000,0.00440,0.00000
failure_prediction_active_learning,0,0.00,1.00000,0.00000,0.00000,0.00000,0.01324,0.00000
calibrated_failure_risk,0,0.00,1.00000,0.00000,0.00000,0.00000,0.01326,0.00000
hybrid_diversity_risk,0,0.00,1.00000,0.00000,0.00000,0.00000,0.00418,0.00000
failure_stratified_engine,0,0.00,1.00000,0.00000,0.00000,0.00000,0.01370,0.00000
failure_stratified_engine_v5,0,0.00,1.00000,0.00000,0.00000,0.00000,0.00578,0.00000
oracle_failure_strata,0,0.00,1.00000,0.12500,0.00000,0.00000,0.01176,0.00000
uncertainty_sampling,1,0.00,1.00000,0.02500,0.00000,0.00000,0.02306,0.00000
failure_prediction_active_learning,1,0.00,1.00000,0.00000,0.00000,0.00000,0.02641,0.00000
calibrated_failure_risk,1,0.00,1.00000,0.00000,0.00000,0.00000,0.02636,0.00000
hybrid_diversity_risk,1,0.00,1.00000,0.02273,0.00000,0.00000,0.02084,0.00000
failure_stratified_engine,1,0.00,1.00000,0.00000,0.00000,0.00000,0.02989,0.00000
failure_stratified_engine_v5,1,0.00,1.00000,0.02500,0.00000,0.00000,0.02440,0.00000
oracle_failure_strata,1,0.00,1.00000,0.02273,0.00000,0.00000,0.02966,0.00000
uncertainty_sampling,2,0.00,1.00000,0.00000,0.00000,0.00000,0.01465,0.00000
failure_prediction_active_learning,2,0.00,1.00000,0.00000,0.00000,0.00000,0.00739,0.00000
calibrated_failure_risk,2,0.00,1.00000,0.00000,0.00000,0.00000,0.00812,0.00000
hybrid_diversity_risk,2,0.00,1.00000,0.00000,0.00000,0.00000,0.01635,0.00000
failure_stratified_engine,2,0.00,1.00000,0.00000,0.00000,0.00000,0.00833,0.00000
failure_stratified_engine_v5,2,0.00,1.00000,0.00000,0.00000,0.00000,0.01304,0.00000
oracle_failure_strata,2,0.00,1.00000,0.00000,0.00000,0.00000,0.00824,0.00000
uncertainty_sampling,3,0.00,1.00000,0.00000,0.00000,0.00000,0.06843,0.00000
failure_prediction_active_learning,3,0.00,1.00000,0.00000,0.00000,0.00000,0.01483,0.00000
